id,name,address,lat,lng,disabled,diaper,hours,male_toilet,male_urinal,female_toilet,emergency_bell,cctv,data_date
pd-3782,동탄뉴타운충전소,경기도 화성시 경기동로 228 (장지리),37.15855296,127.0966905,false,true,24시간,2,2,2,false,false,2024-01-29
pd-3783,동탄뉴타운주유소,경기도 화성시 경기동로 234 (장지리),37.1587129,127.097578,false,true,24시간,1,2,2,false,false,2024-01-29
pd-3784,(주)마봉 장지IC주유소,경기도 화성시 경기동로 378 (장지리),37.1549457,127.1130462,false,true,24시간,1,2,1,false,false,2024-01-29
pd-3785,동지주유소,경기도 화성시 경기동로 492 (장지리),37.15131725,127.1243798,false,true,24시간,1,2,2,false,false,2024-01-29
pd-3786,동일유업(주)룰루랄라주유소,경기도 화성시 경기동로 516 (장지리),37.14976982,127.1259399,false,true,24시간,2,1,2,false,false,2024-01-29
pd-3787,(주)빅뱅코리아샤인주유소,경기도 화성시 경기동로 527 (장지리),37.14979266,127.1278196,false,true,24시간,1,1,2,false,true,2024-01-29
pd-3788,새샘병원,경기도 화성시 병점구 떡전골로 112-13 (진안동),37.20874197,127.0334659,false,true,11시간,1,1,1,false,false,2024-01-29
pd-3789,하나로오피스텔,"경기도 화성시 동탄구 동탄지성로 94 (반송동, 하나로오피스텔)",37.20768563,127.0646856,false,true,11시간,2,1,3,false,false,2024-01-29
pd-3790,에이치오엔빌딩,"경기도 화성시 동탄구 동탄하나1길 47-3 (능동, 에이치오엔빌딩)",37.2181171,127.0597121,false,true,11시간,2,2,2,false,false,2024-01-29
pd-3791,초록산 산림욕장 2,경기도 화성시 만세구 양감면 사격장길 154,37.09215842,126.9549461,false,true,24시간,1,1,1,false,false,2024-01-29
pd-3792,초록산 산림욕장 1,경기도 화성시 만세구 양감면 사격장길 154,37.09215842,126.9549461,false,true,24시간,2,2,2,false,false,2024-01-29
pd-3793,양감공설묘지,경기도 화성시 만세구 양감면 사창리 산 115-1,37.09345109,126.9646698,false,true,24시간,2,2,3,false,false,2024-01-29
pd-3794,초록산등산로,경기도 화성시 만세구 양감면 신왕리 1162-10,37.08117991,126.9576834,false,true,24시간,1,1,1,false,false,2024-01-29
pd-3795,양감파출소,"경기도 화성시 만세구 양감면 은행나무로 263 (신왕리, 양감지구대)",37.08163343,126.9447544,false,true,24시간,0,0,0,false,false,2024-01-29
pd-3796,(주)아이테크 원일주유소,경기도 화성시 만세구 양감면 은행나무로 442 (대양리),37.09735052,126.9398908,false,true,24시간,1,1,1,false,false,2024-01-29
